,CARD_SIDO_NM,STD_CLSS_NM,total_sale_by_indst
591,충남,스포츠 및 레크레이션 용품 임대업,1676.0
592,충남,여관업,159627.0
593,충남,여행사업,52074.0
594,충남,욕탕업,61347.0
595,충남,육류 소매업,376837.0
596,충남,일반유흥 주점업,90641.0
597,충남,일식 음식점업,56823.0
598,충남,자동차 임대업,83733.0
599,충남,전시 및 행사 대행업,42238.0
600,충남,정기 항공 운송업,1192454.882352939
601,충남,중식 음식점업,174750.0
602,충남,차량용 가스 충전업,216203.0
603,충남,차량용 주유소 운영업,2302910.0
604,충남,체인화 편의점,879656.0
605,충남,택시 운송업,504004.17647058837
606,충남,피자 햄버거 샌드위치 및 유사 음식점업,160720.0
607,충남,한식 음식점업,2383540.0
608,충남,호텔업,38025.0
609,충남,화장품 및 방향제 소매업,133577.0
610,충남,휴양콘도 운영업,113340.0
611,충북,건강보조식품 소매업,61670.0
612,충북,골프장 운영업,255635.0
613,충북,과실 및 채소 소매업,75620.0
614,충북,관광 민예품 및 선물용품 소매업,8261.0
615,충북,그외 기타 스포츠시설 운영업,11671.0
616,충북,그외 기타 종합 소매업,82162.0
617,충북,기타 대형 종합 소매업,691648.0
618,충북,기타 수상오락 서비스업,1576.0
619,충북,기타 외국식 음식점업,8263.0
620,충북,기타 주점업,197422.0
621,충북,기타음식료품위주종합소매업,369933.0
622,충북,내항 여객 운송업,18331.529411764783
623,충북,마사지업,12824.0
624,충북,면세점,473254199195.2711
625,충북,버스 운송업,499493.29411764716
626,충북,비알콜 음료점업,142341.0
627,충북,빵 및 과자류 소매업,9330.0
628,충북,서양식 음식점업,63856.0
629,충북,수산물 소매업,44174.0
630,충북,슈퍼마켓,1318530.0
631,충북,스포츠 및 레크레이션 용품 임대업,2913.0
632,충북,여관업,90600.0
633,충북,여행사업,30297.0
634,충북,욕탕업,29711.0
635,충북,육류 소매업,316192.0
636,충북,일반유흥 주점업,64376.0
637,충북,일식 음식점업,48317.0
638,충북,자동차 임대업,57278.0
639,충북,전시 및 행사 대행업,22360.0
640,충북,중식 음식점업,118875.0
641,충북,차량용 가스 충전업,210636.0
642,충북,차량용 주유소 운영업,1880204.0
643,충북,체인화 편의점,504492.0
644,충북,택시 운송업,504004.17647058744
645,충북,피자 햄버거 샌드위치 및 유사 음식점업,115257.0
646,충북,한식 음식점업,1702269.0
647,충북,호텔업,43652.0
648,충북,화장품 및 방향제 소매업,147720.0
649,충북,휴양콘도 운영업,50447.0
